data;fazenda;almoco;janta;cafe;lanche;vlrAlmoco;vlrJanta;vlrCafe;vlrLanche;total
01/09/2023;Santa Elisa;70;45;75;4;19;19;8,5;8,5;2.856,50
01/09/2023;São Francisco;26;10;21;15;19;19;8,5;8,5;990
01/09/2023;Canaa;12;20;20;20;19;19;8,5;8,5;948
01/09/2023;Água Limpa;0;0;0;0;19;19;8,5;8,5;0
01/09/2023;El Dorado;0;0;0;0;19;19;8,5;8,5;0
01/09/2023;Silo;90;45;65;31;19;19;8,5;8,5;3.381,00
01/09/2023;Cidade;9;20;3;0;19;19;8,5;8,5;576,5
02/09/2023;Santa Elisa;66;36;75;4;19;19;8,5;8,5;2.609,50
02/09/2023;São Francisco;23;23;24;15;19;19;8,5;8,5;1.205,50
02/09/2023;Canaa;15;20;20;20;19;19;8,5;8,5;1.005,00
02/09/2023;Água Limpa;0;0;0;0;19;19;8,5;8,5;0
02/09/2023;El Dorado;0;0;0;0;19;19;8,5;8,5;0
02/09/2023;Silo;75;48;50;31;19;19;8,5;8,5;3.025,50
02/09/2023;Cidade;9;20;3;0;19;19;8,5;8,5;576,5
03/09/2023;Santa Elisa;39;46;45;0;19;19;8,5;8,5;1.997,50
03/09/2023;São Francisco;28;23;24;15;19;19;8,5;8,5;1.300,50
03/09/2023;Canaa;12;14;20;20;19;19;8,5;8,5;834
03/09/2023;Água Limpa;0;0;0;0;19;19;8,5;8,5;0
03/09/2023;El Dorado;0;0;0;0;19;19;8,5;8,5;0
03/09/2023;Silo;45;47;60;9;19;19;8,5;8,5;2.334,50
03/09/2023;Cidade;20;20;6;0;19;19;8,5;8,5;811
04/09/2023;Santa Elisa;82;43;75;4;19;19;8,5;8,5;3.046,50
04/09/2023;São Francisco;28;10;23;15;19;19;8,5;8,5;1.045,00
04/09/2023;Canaa;15;20;20;20;19;19;8,5;8,5;1.005,00
04/09/2023;Água Limpa;0;0;0;0;19;19;8,5;8,5;0
04/09/2023;El Dorado;0;0;0;0;19;19;8,5;8,5;0
04/09/2023;Silo;90;48;50;31;19;19;8,5;8,5;3.310,50
04/09/2023;Cidade;19;20;3;0;19;19;8,5;8,5;766,5
05/09/2023;Santa Elisa;91;32;77;4;19;19;8,5;8,5;3.025,50
05/09/2023;São Francisco;45;10;24;15;19;19;8,5;8,5;1.376,50
05/09/2023;Canaa;15;20;20;20;19;19;8,5;8,5;1.005,00
05/09/2023;Água Limpa;0;0;0;0;19;19;8,5;8,5;0
05/09/2023;El Dorado;0;0;0;0;19;19;8,5;8,5;0
05/09/2023;Silo;90;45;65;31;19;19;8,5;8,5;3.381,00
05/09/2023;Cidade;6;20;0;0;19;19;8,5;8,5;494
06/09/2023;Santa Elisa;90;23;75;4;19;19;8,5;8,5;2.818,50
06/09/2023;São Francisco;48;10;24;15;19;19;8,5;8,5;1.433,50
06/09/2023;Canaa;15;20;20;20;19;19;8,5;8,5;1.005,00
06/09/2023;Água Limpa;0;0;0;0;19;19;8,5;8,5;0
06/09/2023;El Dorado;0;0;0;0;19;19;8,5;8,5;0
06/09/2023;Silo;97;45;65;31;19;19;8,5;8,5;3.514,00
06/09/2023;Cidade;4;20;0;0;19;19;8,5;8,5;456
07/09/2023;Santa Elisa;51;23;75;4;19;19;8,5;8,5;2.077,50
07/09/2023;São Francisco;41;28;25;15;19;19;8,5;8,5;1.651,00
07/09/2023;Canaa;15;20;20;20;19;19;8,5;8,5;1.005,00
07/09/2023;Água Limpa;0;0;0;0;19;19;8,5;8,5;0
07/09/2023;El Dorado;0;0;0;0;19;19;8,5;8,5;0
07/09/2023;Silo;90;56;50;31;19;19;8,5;8,5;3.462,50
07/09/2023;Cidade;7;20;3;0;19;19;8,5;8,5;538,5
08/09/2023;Santa Elisa;55;14;75;4;19;19;8,5;8,5;1.982,50
08/09/2023;São Francisco;55;29;35;49;19;19;8,5;8,5;2.310,00
08/09/2023;Canaa;15;20;20;20;19;19;8,5;8,5;1.005,00
08/09/2023;Água Limpa;0;0;0;0;19;19;8,5;8,5;0
08/09/2023;El Dorado;0;0;0;0;19;19;8,5;8,5;0
08/09/2023;Silo;93;56;50;31;19;19;8,5;8,5;3.519,50
08/09/2023;Cidade;4;20;3;0;19;19;8,5;8,5;481,5
09/09/2023;Santa Elisa;47;17;75;4;19;19;8,5;8,5;1.887,50
09/09/2023;São Francisco;50;42;41;49;19;19;8,5;8,5;2.513,00
09/09/2023;Canaa;15;20;20;20;19;19;8,5;8,5;1.005,00
09/09/2023;Água Limpa;3;0;0;0;19;19;8,5;8,5;57
09/09/2023;El Dorado;0;0;0;0;19;19;8,5;8,5;0
09/09/2023;Silo;90;56;50;31;19;19;8,5;8,5;3.462,50
09/09/2023;Cidade;6;20;3;0;19;19;8,5;8,5;519,5
10/09/2023;Santa Elisa;35;24;29;0;19;19;8,5;8,5;1.367,50
10/09/2023;São Francisco;29;31;41;35;19;19;8,5;8,5;1.786,00
10/09/2023;Canaa;11;12;20;0;19;19;8,5;8,5;607
10/09/2023;Água Limpa;0;0;0;0;19;19;8,5;8,5;0
10/09/2023;El Dorado;0;0;0;0;19;19;8,5;8,5;0
10/09/2023;Silo;66;60;64;9;19;19;8,5;8,5;3.014,50
10/09/2023;Cidade;30;20;6;0;19;19;8,5;8,5;1.001,00
11/09/2023;Santa Elisa;70;25;75;4;19;19;8,5;8,5;2.476,50
